X0.1,X0.2,X0.3,X0.4,X0.5
86.14098096,16.26270986,12.49061894,10.63055801,9.275913
106.9533689,17.34532785,12.82379699,10.88364577,9.596140862
131.039716,16.78135395,12.72380996,10.64373493,9.308104992
131.007195,16.42782998,12.58885694,10.75040603,9.459466934
113.594312,17.41552305,13.08705401,11.07886195,9.729403973
112.515826,16.79946017,12.73215508,10.75920701,9.484668016
112.149663,16.61728501,12.5572259,10.79152297,9.445763111
92.225317,16.21485782,12.285633,10.57152986,9.342664003
89.15078712,16.33221602,12.75312996,10.740195,9.47792601
113.2527089,17.53717684,13.41196704,11.42109084,10.01020384
